subcategory_id,subcategory
subcat 1,food trucks
subcat 2,rock
subcat 3,web
subcat 4,plays
subcat 5,documentary
subcat 6,electric music
subcat 7,drama
subcat 8,indie rock
subcat 9,wearables
subcat 10,nonfiction
subcat 11,animation
subcat 12,video games
subcat 13,shorts
subcat 14,fiction
subcat 15,photography books
subcat 16,radio & podcasts
subcat 17,metal
subcat 18,jazz
subcat 19,translations
subcat 20,television
subcat 21,mobile games
subcat 22,world music
subcat 23,science fiction
subcat 24,audio
